source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist,dist_error,pm_scalar,pm_scalar_error,rad_v,rad_v_error,finra,findec,findist,tang_v,true_v,radial_velocity
1.47E+17,71.13217219,0.060269014,23.94087573,0.037630006,86.2421176,0.137844241,-48.78190896,0.06174104,19.50305719,0.069707447,14.229694,15.885799,12.980967,51.2740126,14345.66964,0.09908268,0.020576426,38.76632312,0.207700006,95.08831596,10.39034547,90.89455166,24.08093762,45.63682028,38.76632312
3.31E+18,69.29167921,0.051894644,12.10546294,0.030483163,88.81570896,0.150398806,-10.68480012,0.06629062,19.53295959,0.068842902,14.828397,16.61688,13.542532,51.1955188,14525.82575,0.089456107,0.071891618,34.94632439,0.803660159,93.96270947,9.137462903,86.91188544,21.70802361,41.13980891,34.94632439
4.94E+16,65.12287349,0.532370788,21.37855099,0.279435674,98.76676017,1.144194459,-38.34870305,0.830481375,19.54707039,0.559559278,14.079307,15.77934,12.810906,51.15856135,1787.120757,0.105950441,0.231806248,41.3600116,2.188061579,92.55808465,10.72613348,93.42994081,25.69208992,48.69018427,41.3600116
3.31E+18,66.59088957,0.083478772,18.00015736,0.037766424,98.2364427,0.191569796,-29.8888293,0.109601547,19.55151663,0.083373032,14.327611,16.150867,13.030619,51.14692732,11994.28607,0.102682719,0.040447476,40.0752711,0.393930412,93.87879032,9.697704781,92.10525702,24.89403239,47.17775114,40.0752711
3.31E+18,66.06452807,0.079852156,12.24723667,0.050285392,99.62937804,0.176871946,-12.6902432,0.1104037,19.61874767,0.093274176,14.697147,16.387405,13.437341,50.97165307,10721.08104,0.100434333,0.088407764,39.06343937,0.88026725,93.7393553,8.722169111,90.89585532,24.26550085,45.98659399,39.06343937
1.46E+17,67.65957798,0.094586799,22.90782074,0.055212672,90.27954153,0.239651219,-43.73094707,0.15604438,19.63363484,0.099372849,11.917909,13.212552,10.805022,50.9330039,10063.11091,0.100313465,0.044334902,38.9868444,0.441992599,92.73722841,10.76033544,90.77892341,24.21792144,45.89642421,38.9868444
1.47E+17,71.98250298,0.052225587,25.57952618,0.032894993,81.90589263,0.107043758,-53.9491033,0.054848906,19.63761348,0.058242129,13.516589,15.039906,12.310712,50.92268472,17169.70195,0.098076914,0.016882606,38.10988545,0.172161945,94.73413982,10.59366415,89.87232149,23.67317043,44.86404314,38.10988545
3.31E+18,71.30516846,0.245376292,14.72397771,0.123906597,82.14463406,0.712735048,-22.29628951,0.328529463,19.66579374,0.361116611,18.641272,20.817005,17.059103,50.84971464,2769.188595,0.085116775,0.200895306,33.0265525,2.360303068,94.12312237,8.530563962,84.60400723,20.5154961,38.87979874,33.0265525
3.31E+18,68.96610843,0.119770047,12.25550603,0.07044813,91.54339777,0.321045395,-13.35666168,0.147666334,19.74561407,0.160604434,17.517954,20.022043,16.037298,50.64415805,6226.478171,0.09251267,0.125372506,35.7511594,1.355217224,94.39483004,8.545322227,87.18309425,22.20797254,42.08728363,35.7511594
4.78E+16,65.11559002,0.066225054,18.89706026,0.029350103,104.3882002,0.133407493,-32.42771317,0.09534035,19.75894279,0.071092628,14.011936,15.58325,12.7943125,50.60999522,14066.15606,0.109308979,0.029328211,42.21353241,0.268329725,94.11231231,9.889362154,93.75370281,26.22228158,49.69497328,42.21353241
